Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2024-01-01 00:06:02.408123,Bratislava Kamenné nám.,44,33,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Bratislava Trnavské Mýto,57,45,x,x,503,36,94,0.7,x
2024-01-01 00:06:02.408123,Bratislava Jeséniova,34,28,28,7,x,10,11,x,x
2024-01-01 00:06:02.408123,Bratislava Mamateyova,52,35,2,2,x,29,54,x,x
2024-01-01 00:06:02.408123,Bratislava Púchovská,47,37,x,PDL,467,22,33,1.4,x
2024-01-01 00:06:02.408123,Bratislava Padlých hrdinov mobilná AMS,62,55,x,x,102,x,x,x,x
2024-01-01 00:06:02.408123,Rovinka mobilná AMS,36,x,x,PDL,588,PDL,PDL,0.8,x
2024-01-01 00:06:02.408123,Pezinok Obrancov mieru,44,46,21,x,x,14,17,x,x
2024-01-01 00:06:02.408123,Rohožník Senická,29,10,x,10,762,2,6,1.4,x
2024-01-01 00:06:02.408123,Senec Boldocká,51,45,19,x,445,16,33,x,x
2024-01-01 00:06:02.408123,Nitra Janíkovce,22,25,*,x,x,7,8,x,x
2024-01-01 00:06:02.408123,Nitra Štúrova,23,20,x,9,367,15,27,0.4,x
2024-01-01 00:06:02.408123,Komárno Vnútorná okružná,16,12,56,x,x,*,*,x,x
2024-01-01 00:06:02.408123,Plášťovce,58,54,6,x,x,10,14,x,x
2024-01-01 00:06:02.408123,Topoľníky Aszód EMEP,10,15,48,11,x,*,*,x,*
2024-01-01 00:06:02.408123,Senica Hviezdoslavova,41,34,x,9,x,x,x,x,x
2024-01-01 00:06:02.408123,Trnava Kollárova,27,25,x,x,1151,48,93,0.2,x
2024-01-01 00:06:02.408123,Sereď Vinárska,28,28,x,x,x,7,12,x,x
2024-01-01 00:06:02.408123,Trenčín Hasičská,22,22,x,4,298,9,15,0.7,x
2024-01-01 00:06:02.408123,Púchov 1. mája,103,101,x,3,*,13,18,x,x
2024-01-01 00:06:02.408123,Bystričany Rozvodňa SSE,28,28,x,19,x,x,x,x,x
2024-01-01 00:06:02.408123,Handlová Morovianska cesta,17,14,x,10,x,x,x,x,x
2024-01-01 00:06:02.408123,Prievidza Malonecpalská,24,22,*,*,x,30,38,x,x
2024-01-01 00:06:02.408123,Žarnovica,29,25,x,x,x,10,13,x,x
2024-01-01 00:06:02.408123,Žiar nad Hronom Jilemnického,18,22,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Zvolen J. Alexyho,47,39,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Banská Bystrica Štefánikovo nábrežie,61,52,x,6,1892,21,79,*,x
2024-01-01 00:06:02.408123,Banská Bystrica Zelená,55,47,4,x,x,20,51,x,x
2024-01-01 00:06:02.408123,Lučenec Gemerská cesta,34,32,14,x,735,15,19,0.3,x
2024-01-01 00:06:02.408123,Hnúšťa Hlavná,57,52,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Jelšava Jesenského,112,86,4,x,x,21,48,x,x
2024-01-01 00:06:02.408123,Brezno mobilná AMS,122,112,x,x,1320,24,72,x,x
2024-01-01 00:06:02.408123,Žilina Obežná,35,60,24,x,317,17,21,x,x
2024-01-01 00:06:02.408123,Oščadnica,20,21,47,6,x,*,*,x,x
2024-01-01 00:06:02.408123,Martin Jesenského,28,29,x,x,474,15,21,0.3,x
2024-01-01 00:06:02.408123,Ružomberok Riadok,7,8,42,9,558,5,8,0.4,x
2024-01-01 00:06:02.408123,Chopok EMEP,x,x,72,x,x,2,3,x,x
2024-01-01 00:06:02.408123,Liptovský Mikuláš Školská,40,39,x,3,x,13,15,x,x
2024-01-01 00:06:02.408123,Košice Ďumbierska,x,x,4,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Košice Amurská,53,46,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Košice Štefánikova,48,47,x,15,1100,35,120,3.1,x
2024-01-01 00:06:02.408123,Kojšovská hoľa,x,x,48,x,x,3,6,x,x
2024-01-01 00:06:02.408123,Veľká Ida Letná,42,51,x,x,1131,x,x,x,x
2024-01-01 00:06:02.408123,Strážske Mierová,36,31,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Trebišov T. G. Masaryka,40,38,8,x,x,14,16,x,x
2024-01-01 00:06:02.408123,Krompachy SNP,56,51,x,*,971,17,27,3.3,x
2024-01-01 00:06:02.408123,Poprad Železničná,19,15,x,x,x,10,10,x,x
2024-01-01 00:06:02.408123,Stará Lesná AÚ SAV EMEP,8,9,45,x,x,5,5,x,x
2024-01-01 00:06:02.408123,Gánovce Meteo. st,x,x,45,x,x,4,5,x,x
2024-01-01 00:06:02.408123,Prešov Arm. gen. L. Svobodu,18,20,x,x,703,12,18,0.8,x
2024-01-01 00:06:02.408123,Humenné Nám. slobody,20,18,59,x,x,5,6,x,x
2024-01-01 00:06:02.408123,Starina Vodná nádrž EMEP,x,x,57,x,x,3,3,x,1.3
2024-01-01 00:06:02.408123,Kolonické sedlo,18,17,x,x,x,x,x,x,x
2024-01-01 00:06:02.408123,Vranov nad Top. M. R. Štefánika,39,38,x,7,x,x,x,x,x
2024-01-01 00:06:02.408123,Bardejov Pod Vinbargom,21,19,47,x,x,7,7,x,x
2024-01-01 01:06:02.268952,Bratislava Kamenné nám.,47,37,x,x,x,x,x,x,x
2024-01-01 01:06:02.268952,Bratislava Trnavské Mýto,57,51,x,x,429,33,65,0.8,x
2024-01-01 01:06:02.268952,Bratislava Jeséniova,31,25,24,6,x,10,11,x,x
2024-01-01 01:06:02.268952,Bratislava Mamateyova,56,42,13,2,x,19,28,x,x
2024-01-01 01:06:02.268952,Bratislava Púchovská,39,32,x,PDL,423,14,19,1.3,x
